"Time","Power_kW"
2018-08-25 00:00:55,-0.00515
2018-08-25 00:01:55,-0.0052
2018-08-25 00:02:55,-0.00521666666666667
2018-08-25 00:03:55,-0.00518333333333333
2018-08-25 00:04:55,-0.0052
2018-08-25 00:05:55,-0.00518333333333333
2018-08-25 00:06:55,-0.00526666666666667
2018-08-25 00:07:55,-0.0052
2018-08-25 00:08:55,-0.00523333333333333
2018-08-25 00:09:55,-0.0052
2018-08-25 00:10:55,-0.0052
2018-08-25 00:11:55,-0.0052
2018-08-25 00:12:55,-0.00521666666666667
2018-08-25 00:13:55,-0.00518333333333333
2018-08-25 00:14:55,-0.00518333333333333
2018-08-25 00:15:55,-0.00521666666666667
2018-08-25 00:16:55,-0.00516666666666667
2018-08-25 00:17:55,-0.00515
2018-08-25 00:18:55,-0.0052
2018-08-25 00:19:55,-0.0052
2018-08-25 00:20:55,-0.0052
2018-08-25 00:21:55,-0.00505
2018-08-25 00:22:55,-0.00508333333333333
2018-08-25 00:23:55,-0.0052
2018-08-25 00:24:55,-0.00523333333333333
2018-08-25 00:25:55,-0.00521666666666667
2018-08-25 00:26:55,-0.00523333333333333
2018-08-25 00:27:55,-0.0052
2018-08-25 00:28:55,-0.0052
2018-08-25 00:29:55,-0.0052
2018-08-25 00:30:55,-0.0052
2018-08-25 00:31:55,-0.00521666666666667
2018-08-25 00:32:55,-0.00515
2018-08-25 00:33:55,-0.0052
2018-08-25 00:34:55,-0.00515
2018-08-25 00:35:55,-0.00518333333333333
2018-08-25 00:36:55,-0.00515
2018-08-25 00:37:55,-0.00521666666666667
2018-08-25 00:38:55,-0.0052
2018-08-25 00:39:55,-0.0052
2018-08-25 00:40:55,-0.00516666666666667
2018-08-25 00:41:55,-0.00523333333333333
2018-08-25 00:42:55,-0.00526666666666667
2018-08-25 00:43:55,-0.00518333333333333
2018-08-25 00:44:55,-0.0052
2018-08-25 00:45:55,-0.00515
2018-08-25 00:46:55,-0.00518333333333333
2018-08-25 00:47:55,-0.00516666666666667
2018-08-25 00:48:55,-0.00515
2018-08-25 00:49:55,-0.0052
2018-08-25 00:50:55,-0.00513333333333333
2018-08-25 00:51:55,-0.00523333333333333
2018-08-25 00:52:55,-0.00518333333333333
2018-08-25 00:53:55,-0.00516666666666667
2018-08-25 00:54:55,-0.00513333333333333
2018-08-25 00:55:55,-0.00513333333333333
2018-08-25 00:56:55,-0.00518333333333333
2018-08-25 00:57:55,-0.0052
2018-08-25 00:58:55,-0.00515
2018-08-25 00:59:55,-0.00515
2018-08-25 01:00:55,-0.00515
2018-08-25 01:01:55,-0.00516666666666667
2018-08-25 01:02:55,-0.00518333333333333
2018-08-25 01:03:55,-0.00518333333333333
2018-08-25 01:04:55,-0.00523333333333333
2018-08-25 01:05:55,-0.00518333333333333
2018-08-25 01:06:55,-0.00516666666666667
2018-08-25 01:07:55,-0.0052
2018-08-25 01:08:55,-0.00516666666666667
2018-08-25 01:09:55,-0.00518333333333333
2018-08-25 01:10:55,-0.00516666666666667
2018-08-25 01:11:55,-0.0052
2018-08-25 01:12:55,-0.00521666666666667
