"Time","Power_kW"
2018-08-25 00:00:55,1.25951666666667
2018-08-25 00:01:55,1.07988333333333
2018-08-25 00:02:55,-0.0831333333333334
2018-08-25 00:03:55,-0.214216666666667
2018-08-25 00:04:55,-0.4215
2018-08-25 00:05:55,-0.364583333333334
2018-08-25 00:06:55,-0.700133333333333
2018-08-25 00:07:55,-1.0387
2018-08-25 00:08:55,-1.11056666666667
2018-08-25 00:09:55,-1.25033333333333
2018-08-25 00:10:55,-1.14813333333333
2018-08-25 00:11:55,-1.14158333333333
2018-08-25 00:12:55,-1.286
2018-08-25 00:13:55,-1.2104
2018-08-25 00:14:55,-1.37938333333333
2018-08-25 00:15:55,-1.22323333333333
2018-08-25 00:16:55,-1.13108333333333
2018-08-25 00:17:55,0.683716666666667
2018-08-25 00:18:55,-0.988483333333333
2018-08-25 00:19:55,-0.6901
2018-08-25 00:20:55,-0.604683333333333
2018-08-25 00:21:55,-0.4539
2018-08-25 00:22:55,-0.620783333333333
2018-08-25 00:23:55,-0.770966666666667
2018-08-25 00:24:55,-0.457666666666667
2018-08-25 00:25:55,-0.406783333333333
2018-08-25 00:26:55,-0.26095
2018-08-25 00:27:55,-0.293016666666667
2018-08-25 00:28:55,-0.269616666666667
2018-08-25 00:29:55,-0.469733333333333
2018-08-25 00:30:55,1.70948333333333
2018-08-25 00:31:55,2.23438333333333
2018-08-25 00:32:55,2.24403333333333
2018-08-25 00:33:55,2.4679
2018-08-25 00:34:55,2.3851
2018-08-25 00:35:55,2.49123333333333
2018-08-25 00:36:55,2.50765
2018-08-25 00:37:55,2.4635
2018-08-25 00:38:55,2.28225
2018-08-25 00:39:55,2.19438333333333
2018-08-25 00:40:55,2.17275
2018-08-25 00:41:55,2.16686666666667
2018-08-25 00:42:55,1.574
2018-08-25 00:43:55,1.66301666666667
2018-08-25 00:44:55,1.53698333333333
2018-08-25 00:45:55,1.59798333333333
2018-08-25 00:46:55,1.5526
2018-08-25 00:47:55,1.30803333333333
2018-08-25 00:48:55,1.32415
2018-08-25 00:49:55,1.269
2018-08-25 00:50:55,1.26443333333333
2018-08-25 00:51:55,1.24228333333333
2018-08-25 00:52:55,1.31221666666667
2018-08-25 00:53:55,1.33226666666667
2018-08-25 00:54:55,1.56875
2018-08-25 00:55:55,1.50816666666667
2018-08-25 00:56:55,-0.736616666666667
2018-08-25 00:57:55,-0.557833333333333
2018-08-25 00:58:55,-0.452616666666667
2018-08-25 00:59:55,-0.379683333333333
2018-08-25 01:00:55,-0.2706
2018-08-25 01:01:55,-0.427783333333333
2018-08-25 01:02:55,-0.309866666666667
2018-08-25 01:03:55,-0.0942999999999999
2018-08-25 01:04:55,-0.1195
2018-08-25 01:05:55,-0.116166666666667
2018-08-25 01:06:55,-0.1309
2018-08-25 01:07:55,0.0226833333333334
2018-08-25 01:08:55,0.0657833333333334
2018-08-25 01:09:55,0.17755
2018-08-25 01:10:55,0.403683333333333
2018-08-25 01:11:55,0.337133333333333
2018-08-25 01:12:55,0.224216666666667
2018-08-25 01:13:55,0.363683333333333
2018-08-25 01:14:55,0.328033333333333
2018-08-25 01:15:55,0.204266666666667
2018-08-25 01:16:55,0.181116666666667
2018-08-25 01:17:55,0.12205
2018-08-25 01:18:55,0.0156500000000001
2018-08-25 01:19:55,-0.0017333333333332
2018-08-25 01:20:55,-0.164183333333334
2018-08-25 01:21:55,-0.234266666666667
2018-08-25 01:22:55,-0.318666666666667
2018-08-25 01:23:55,-0.595183333333334
2018-08-25 01:24:55,-0.392466666666667
2018-08-25 01:25:55,-0.331533333333333
2018-08-25 01:26:55,-0.328016666666667
2018-08-25 01:27:55,-0.370066666666667
2018-08-25 01:28:55,-0.14255
2018-08-25 01:29:55,0.0264833333333334
2018-08-25 01:30:55,-0.0854166666666668
2018-08-25 01:31:55,-0.122766666666667
2018-08-25 01:32:55,-0.223
2018-08-25 01:33:55,-0.2951
2018-08-25 01:34:55,-0.0130666666666666
2018-08-25 01:35:55,-0.115466666666667
2018-08-25 01:36:55,0.0141666666666668
2018-08-25 01:37:55,-0.0937999999999999
2018-08-25 01:38:55,-0.0952666666666667
2018-08-25 01:39:55,-0.10975
2018-08-25 01:40:55,-0.0709499999999998
2018-08-25 01:41:55,-0.00011666666666676
2018-08-25 01:42:55,-0.08415
2018-08-25 01:43:55,-0.379033333333333
2018-08-25 01:44:55,-0.361633333333333
2018-08-25 01:45:55,-0.406833333333333
2018-08-25 01:46:55,-0.44095
2018-08-25 01:47:55,-0.364983333333333
2018-08-25 01:48:55,-0.35505
2018-08-25 01:49:55,-0.389533333333333
2018-08-25 01:50:55,-0.0555499999999999
2018-08-25 01:51:55,0.476816666666666
2018-08-25 01:52:55,0.428216666666667
2018-08-25 01:53:55,-0.383333333333333
2018-08-25 01:54:55,-0.4323
2018-08-25 01:55:55,-0.449716666666667
2018-08-25 01:56:55,-0.362416666666667
2018-08-25 01:57:55,-0.349316666666667
2018-08-25 01:58:55,-0.368383333333333
2018-08-25 01:59:55,-0.142966666666667
2018-08-25 02:00:55,0.0330166666666666
2018-08-25 02:01:55,-0.0455833333333334
2018-08-25 02:02:55,-0.1669
2018-08-25 02:03:55,-0.0772999999999999
2018-08-25 02:04:55,-0.0196
2018-08-25 02:05:55,-0.0152333333333332
2018-08-25 02:06:55,0.0992833333333334
2018-08-25 02:07:55,-0.0133000000000001
2018-08-25 02:08:55,0.142766666666667
2018-08-25 02:09:55,0.0409499999999999
2018-08-25 02:10:55,0.3059
2018-08-25 02:11:55,0.1321
2018-08-25 02:12:55,0.0798666666666665
