postcode,long,lat
2302,151.761,-32.928
2303,151.747,-32.927
2304,151.739,-32.872
2305,151.704,-32.927
2306,151.681,-32.993
2307,151.691,-32.879
2308,151.705,-32.892
2311,151.475,-32.269
2312,152.39,-32.128
2314,151.837,-32.792
2315,152.148,-32.738
2316,152.042,-32.771
2317,152.087,-32.73
2318,151.866,-32.759
2319,152.001,-32.744
2320,151.463,-32.708
2321,151.691,-32.621
2322,151.651,-32.821
2323,151.511,-32.885
2324,151.926,-32.655
2325,151.176,-32.951
2326,151.453,-32.785
2327,151.482,-32.83
2328,150.519,-32.525
2329,150.181,-32.059
2330,150.912,-32.67
2331,151.183,-32.697
2333,150.684,-32.35
2334,151.387,-32.689
2335,151.371,-32.616
2336,150.977,-32.085
2337,151.083,-31.904
2338,150.985,-31.704
2339,150.524,-31.736
2340,150.975,-31.236
2341,150.624,-31.352
2342,150.598,-31.185
2343,150.382,-31.522
2344,150.75,-31.148
2345,150.839,-30.9
2346,150.761,-30.688
2347,150.56,-30.319
2350,151.9,-30.465
2351,151.641,-30.49
2352,151.158,-31.087
2353,151.048,-30.95
2354,151.734,-31.149
2355,151.115,-30.747
2356,148.976,-30.565
2357,149.399,-31.257
2358,151.374,-30.585
2359,151.011,-30.176
2360,151.108,-29.65
2361,151.161,-29.215
2365,151.7,-30.093
2369,151.231,-29.95
2370,151.97,-29.686
2371,151.683,-29.374
2372,152.027,-29.032
2379,149.743,-31.131
2380,150.186,-30.927
2381,150.124,-31.286
2382,150.097,-30.66
2386,148.934,-30.06
2387,148.946,-29.754
2388,149.277,-30.437
2390,149.913,-30.245
2395,149.468,-31.597
2396,149.042,-30.915
2397,149.649,-29.886
2398,149.82,-29.732
2399,150.16,-29.464
2400,149.676,-29.377
2401,150.324,-29.631
2402,150.553,-29.412
2403,150.771,-29.626
2404,150.571,-29.919
2405,149.623,-28.907
2406,149.018,-28.983
2408,150.482,-29.011
2409,150.245,-28.712
2410,150.775,-28.944
2411,150.311,-29.107
2415,151.827,-32.245
2420,151.686,-32.326
2421,151.551,-32.54
2422,151.819,-31.93
2423,152.259,-32.374
2424,152.009,-31.656
2425,152.007,-32.45
2426,152.583,-31.821
2427,152.677,-31.86
2428,152.478,-32.255
2429,152.261,-31.797
2430,152.483,-31.9
2431,153.049,-30.914
2439,152.627,-31.629
2440,152.57,-30.92
2441,152.765,-31.101
2443,152.703,-31.693
2444,152.881,-31.391
2445,152.809,-31.581
2446,152.441,-31.38
2447,152.785,-30.728
2448,152.964,-30.599
2449,152.717,-30.609
2450,152.996,-30.202
2452,153.087,-30.356
2453,152.545,-30.25
2454,152.733,-30.457
2455,152.992,-30.515
2456,153.154,-30.069
2460,152.744,-29.647
2462,153.154,-29.702
2463,153.215,-29.472
2464,153.328,-29.488
2465,153.247,-29.414
2466,153.341,-29.361
2469,152.735,-28.971
2470,152.962,-28.878
2471,153.21,-29.023
2472,153.326,-29.151
2473,153.409,-29.105
2474,152.918,-28.501
2475,152.432,-28.527
2476,152.442,-28.418
2477,153.436,-28.889
2478,153.532,-28.847
2479,153.515,-28.705
2480,153.262,-28.728
2481,153.56,-28.646
2482,153.428,-28.549
2483,153.495,-28.469
2484,153.307,-28.377
2485,153.513,-28.181
2486,153.474,-28.217
2487,153.543,-28.275
2488,153.551,-28.334
2489,153.56,-28.384
2490,153.473,-28.269
2500,150.874,-34.421
2502,150.877,-34.49
2505,150.895,-34.472
2506,150.843,-34.479
2508,150.953,-34.19
2515,150.933,-34.295
2516,150.902,-34.33
2517,150.901,-34.349
2518,150.898,-34.373
2519,150.881,-34.391
2522,150.879,-34.405
2525,150.849,-34.431
2526,150.787,-34.404
2527,150.748,-34.582
2528,150.859,-34.548
2529,150.839,-34.6
2530,150.761,-34.508
2533,150.788,-34.66
2534,150.786,-34.736
2535,150.684,-34.761
2536,150.107,-35.67
2537,149.915,-35.914
2538,150.293,-35.422
2539,150.292,-35.376
2540,150.488,-34.982
2541,150.587,-34.87
2545,149.834,-36.11
2546,149.893,-36.302
2548,149.884,-36.834
2549,149.815,-36.963
2550,149.686,-36.733
2551,149.762,-37.233
2555,150.745,-33.882
2556,150.725,-33.944
2557,150.773,-33.975
2558,150.805,-34.031
2559,150.799,-34.05
2560,150.817,-34.225
2563,150.755,-34.098
2564,150.894,-33.996
2565,150.85,-33.991
2566,150.84,-34.022
2567,150.751,-34.046
2568,150.721,-34.138
2569,150.712,-34.188
2570,150.589,-34.052
2571,150.633,-34.228
2572,150.514,-34.191
2573,150.591,-34.229
