ts,SA,NSW
25/08/2018 13:12,50.078732,49.87043
25/08/2018 13:12,50.081635,49.863342
25/08/2018 13:12,50.083969,49.850895
25/08/2018 13:12,50.087345,49.839474
25/08/2018 13:12,50.090221,49.827457
25/08/2018 13:12,50.093163,49.816528
25/08/2018 13:12,50.101364,49.809101
25/08/2018 13:12,50.116135,49.801067
25/08/2018 13:12,50.126419,49.795361
25/08/2018 13:12,50.129658,49.793774
25/08/2018 13:12,50.131836,49.798901
25/08/2018 13:12,50.134884,49.808483
25/08/2018 13:12,50.140816,49.811787
25/08/2018 13:12,50.152393,49.81673
25/08/2018 13:12,50.161381,49.819595
25/08/2018 13:12,50.155769,49.820938
25/08/2018 13:12,50.145988,49.817505
25/08/2018 13:12,50.137566,49.811996
25/08/2018 13:12,50.130596,49.805336
25/08/2018 13:12,50.1292,49.802677
25/08/2018 13:12,50.129772,49.798237
25/08/2018 13:12,50.130165,49.794533
25/08/2018 13:12,50.133701,49.794205
25/08/2018 13:12,50.136024,49.793739
25/08/2018 13:12,50.135185,49.797634
25/08/2018 13:12,50.135098,49.804157
25/08/2018 13:12,50.14135,49.813156
25/08/2018 13:12,50.152664,49.824497
25/08/2018 13:12,50.159618,49.830017
25/08/2018 13:12,50.160622,49.832008
25/08/2018 13:12,50.157425,49.833961
25/08/2018 13:12,50.152206,49.82798
25/08/2018 13:12,50.150089,49.820835
25/08/2018 13:12,50.151054,49.814461
25/08/2018 13:12,50.153194,49.806816
25/08/2018 13:12,50.156559,49.796139
25/08/2018 13:12,50.158077,49.78738
25/08/2018 13:12,50.15818,49.780197
25/08/2018 13:12,50.156746,49.779663
25/08/2018 13:12,50.155682,49.782494
25/08/2018 13:12,50.157284,49.791115
25/08/2018 13:12,50.160702,49.796444
25/08/2018 13:12,50.166416,49.804165
25/08/2018 13:12,50.171455,49.812309
25/08/2018 13:12,50.174278,49.818516
25/08/2018 13:12,50.175182,49.824051
25/08/2018 13:12,50.17709,49.828678
25/08/2018 13:12,50.180599,49.830963
25/08/2018 13:13,50.181255,49.835949
25/08/2018 13:13,50.180988,49.841766
25/08/2018 13:13,50.180725,49.848709
25/08/2018 13:13,50.180988,49.862022
25/08/2018 13:13,50.181465,49.873142
25/08/2018 13:13,50.182762,49.88044
25/08/2018 13:13,50.184937,49.886707
25/08/2018 13:13,50.186279,49.886547
25/08/2018 13:13,50.185646,49.885212
25/08/2018 13:13,50.185413,49.882538
25/08/2018 13:13,50.184502,49.88488
25/08/2018 13:13,50.181484,49.886658
25/08/2018 13:13,50.178688,49.886768
25/08/2018 13:13,50.177608,49.887741
25/08/2018 13:13,50.178303,49.891884
25/08/2018 13:13,50.179707,49.893147
25/08/2018 13:13,50.181065,49.894394
25/08/2018 13:13,50.1819,49.899384
25/08/2018 13:13,50.182838,49.905754
25/08/2018 13:13,50.183266,49.91066
25/08/2018 13:13,50.182163,49.914707
25/08/2018 13:13,50.180706,49.917225
25/08/2018 13:13,50.180874,49.917801
25/08/2018 13:13,50.184273,49.915493
25/08/2018 13:13,50.189548,49.91127
25/08/2018 13:13,50.19463,49.905212
25/08/2018 13:13,50.198116,49.894535
25/08/2018 13:13,50.198597,49.885456
25/08/2018 13:13,50.199173,49.878471
25/08/2018 13:13,50.199245,49.871773
25/08/2018 13:13,50.195961,49.86232
25/08/2018 13:13,50.1894,49.852772
25/08/2018 13:13,50.182114,49.843754
25/08/2018 13:13,50.177547,49.837292
25/08/2018 13:13,50.176674,49.837437
25/08/2018 13:13,50.179691,49.838753
25/08/2018 13:13,50.187107,49.838474
25/08/2018 13:13,50.19677,49.845238
25/08/2018 13:13,50.204197,49.853542
25/08/2018 13:13,50.211601,49.859798
25/08/2018 13:13,50.215797,49.863174
25/08/2018 13:13,50.216145,49.869923
25/08/2018 13:13,50.213169,49.873783
25/08/2018 13:13,50.206188,49.873936
25/08/2018 13:13,50.196861,49.877342
25/08/2018 13:13,50.188667,49.881714
25/08/2018 13:13,50.184361,49.887619
25/08/2018 13:13,50.183636,49.889416
25/08/2018 13:13,50.184975,49.896702
25/08/2018 13:13,50.187698,49.900913
25/08/2018 13:13,50.193676,49.900253
25/08/2018 13:13,50.200264,49.901882
25/08/2018 13:13,50.207237,49.90469
25/08/2018 13:13,50.212692,49.902958
25/08/2018 13:13,50.215534,49.901131
25/08/2018 13:13,50.215652,49.896729
25/08/2018 13:13,50.211987,49.894234
25/08/2018 13:13,50.206242,49.891163
25/08/2018 13:13,50.20393,49.886963
25/08/2018 13:13,50.204613,49.880287
25/08/2018 13:14,50.205303,49.875397
25/08/2018 13:14,50.207294,49.874405
25/08/2018 13:14,50.212402,49.87244
25/08/2018 13:14,50.220211,49.871784
25/08/2018 13:14,50.224945,49.872078
25/08/2018 13:14,50.224545,49.874039
25/08/2018 13:14,50.224716,49.874451
25/08/2018 13:14,50.223312,49.876694
25/08/2018 13:14,50.219513,49.880272
25/08/2018 13:14,50.218079,49.883156
